r0,r1,r2,E
3.1,0.97,2.397479101593084,-150.65461
3.2,0.97,2.481637060272982,-150.65461
3.25,0.97,2.5176668486433837,-150.65461
2.3,0.97,2.135276417745066,-150.6546014
3.15,0.97,2.4460045785118623,-150.6546
3.35,0.97,2.57913462678461,-150.6546
3.4,0.97,2.605493511148673,-150.6546
3.5,0.97,2.6527476559260488,-150.6546
3.05,0.97,2.3490154718626624,-150.65459
3.3,0.97,2.554095037484436,-150.65459
3.45,0.97,2.633216998463135,-150.65459
3.1,0.97,2.4107682028368416,-150.65457
3.15,0.97,2.45924099768797,-150.65457
3.2,0.97,2.4945882934116415,-150.65457
3.25,0.97,2.5303256411904687,-150.65457
3.5,0.97,2.6623464135286103,-150.65457
2.4,0.97,2.2263718694448853,-150.6545652
3.05,0.97,2.3623590690047576,-150.65456
3.35,0.97,2.590922611527154,-150.65456
3.4,0.97,2.6166819609132603,-150.65456
2.2,0.97,2.045013217390266,-150.6545578
3.3,0.97,2.5664544828346116,-150.65455
3.45,0.97,2.6437795483201745,-150.65455
3.1,0.97,2.4242822005281845,-150.65454
3.2,0.97,2.5077737620466225,-150.65454
2.4,0.97,2.9060399685731246,-150.6545365
3.05,0.97,2.37592662893009,-150.65453
3.15,0.97,2.4727031826599104,-150.65453
3.25,0.97,2.5432269087031574,-150.65453
3.5,0.97,2.6722585392811418,-150.65453
3.35,0.97,2.602976145869336,-150.65452
3.4,0.97,2.6281504442767756,-150.65452
3.1,0.97,2.4380132729504296,-150.65451
3.3,0.97,2.5790644043938853,-150.65451
3.45,0.97,2.654635939723327,-150.65451
3.05,0.97,2.3897102397707144,-150.6545
3.2,0.97,2.521185806574979,-150.6545
3.5,0.97,2.6824775571265986,-150.6545
3.15,0.97,2.486383399256825,-150.65449
3.25,0.97,2.5563630803369106,-150.65449
3.1,0.97,2.4519536260990438,-150.65448
3.35,0.97,2.6152879122891695,-150.65448
3.4,0.97,2.639891841313197,-150.65448
3.45,0.97,2.6657792962660585,-150.65448
2.5,0.97,2.3182014627578913,-150.654474
3.05,0.97,2.4037020226770736,-150.65447
3.3,0.97,2.591917333688949,-150.65447
3.15,0.97,2.5002739360435364,-150.65446
3.2,0.97,2.5348167778199246,-150.65446
3.5,0.97,2.6929968786694687,-150.65446
3.25,0.97,2.5697265833185052,-150.65445
3.05,0.97,2.4178941390495687,-150.65444
3.1,0.97,2.466095500904,-150.65444
3.35,0.97,2.6278505576910605,-150.65444
3.4,0.97,2.651898974589142,-150.65444
3.45,0.97,2.6772026618142006,-150.65444
3.3,0.97,2.605005787980089,-150.65443
2.1,0.97,1.955697506881771,-150.654422
3.15,0.97,2.5143671115228265,-150.65442
3.2,0.97,2.5486590446697717,-150.65442
3.5,0.97,2.7038098136340247,-150.65442
3.05,0.97,2.4322787972433106,-150.65441
3.1,0.97,2.480431179948823,-150.65441
3.25,0.97,2.5833098509731354,-150.65441
3.35,0.97,2.6406567024516163,-150.6544
3.4,0.97,2.6641646187632264,-150.6544
3.45,0.97,2.6888990105136483,-150.6544
3.05,0.97,2.4468482587598683,-150.65439
3.15,0.97,2.5286552808568525,-150.65439
3.2,0.97,2.5627050012508925,-150.65439
3.3,0.97,2.618322278626615,-150.65439
3.5,0.97,2.7149095801209766,-150.65439
3.1,0.97,2.4949529936981483,-150.65438
3.25,0.97,2.59710533030438,-150.65437
3.4,0.97,2.6766815098369183,-150.65437
3.05,0.97,2.4615948439414628,-150.65436
3.35,0.97,2.653698949072768,-150.65436
